                 year  name  employeeId  type    id  studentId  Loan  Address_city  Address_postal  Address_address  Faculty_id  Faculty_name
year             60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
name             60.0  80.0        60.0  80.0  80.0       60.0  20.0          60.0            60.0             60.0        60.0          60.0
employeeId       60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
type             60.0  80.0        60.0  80.0  80.0       60.0  20.0          60.0            60.0             60.0        60.0          60.0
id               60.0  80.0        60.0  80.0  80.0       60.0  20.0          60.0            60.0             60.0        60.0          60.0
studentId        60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
Loan              0.0  20.0         0.0  20.0  20.0        0.0  20.0           0.0             0.0              0.0         0.0           0.0
Address_city     60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
Address_postal   60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
Address_address  60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
Faculty_id       60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
Faculty_name     60.0  60.0        60.0  60.0  60.0       60.0   0.0          60.0            60.0             60.0        60.0          60.0
